"","state","year","deaths","death_rate","hydro_gms","oxy_gms","fent_gms","pop","unempl_rate","poverty_rate","snap_rate","medicaid_rate","gsp_per_cap","min_wage","log_pop"
"665","SC",2001,242,-1.06896370743369,-0.104716122766588,-0.071917229524609,-0.0860291552581938,-0.297615108934826,-0.415521225078599,0.722598898398513,-0.636256582163246,0.44946313019591,-1.44517894203674,-1.02675399387471,15.217923070951
"666","SC",2002,217,-1.17053189239,-0.10441929538086,-0.0719021847489698,-0.0860205940943901,-0.291211200064334,-0.148532473406443,0.416787419277407,-0.310714676228685,0.588450461151123,-1.3641126885905,-1.02675399387471,15.2283969461564
"667","SC",2003,287,-0.896751545339592,-0.104128456233472,-0.0718874245143807,-0.0860122058143693,-0.284851879157474,0.44892263410166,-0.00687928920095695,0.0492037604240267,0.888715046807978,-1.25695016025843,-1.02675399387471,15.2386904559112
"668","SC",2004,356,-0.657594474028576,-0.103852735638676,-0.0718745683755821,-0.0860042434149621,-0.275781071415308,0.42256962125526,0.645786273410436,0.260400833597152,0.753948628139766,-1.19323722666968,-1.02675399387471,15.2531919465786
"669","SC",2005,427,-0.41429444664618,-0.103584056823653,-0.0718619517774504,-0.085996485165527,-0.266918989207589,0.37948508740857,0.66971819421455,0.348286186676842,0.718288553446177,-1.07362398735964,-1.02675399387471,15.2671595133934
"670","SC",2006,554,0.0426308632422551,-0.0996476136126064,-0.0714288202226391,-0.0859133378963727,-0.25379740985676,0.224374494249805,-0.47957743232349,0.360844945402587,0.362626315119542,-0.965958056605753,-1.02675399387471,15.2874886860228
"671","SC",2007,545,-0.049664991459061,-0.098638280743416,-0.0712273877047186,-0.0858964847319667,-0.240890391377899,-0.204595274357938,0.433853813516154,0.362955515052332,0.03363401289454,-0.853361406646598,-1.02675399387471,15.3070901819106
"672","SC",2008,565,0.00840215474775214,-0.0971901648949849,-0.0710536680167884,-0.0858695401888126,-0.228189405200783,0.333543570102285,0.40175455092316,0.529796346813752,0.0247276034964799,-0.860294273258494,-0.485893081499249,15.3260108393408
"673","SC",2009,615,0.134959598547312,-0.0948310439154097,-0.0711243435676013,-0.0859201144543319,-0.219080892200782,2.4804081770626,0.306523023082126,0.963998302420725,0.109652602560593,-0.941421319723792,0.0549678308762082,15.3393626949376
"674","SC",2010,678,0.358843629420579,-0.0954697260500764,-0.0711899163102411,-0.0859360026442568,-0.212231552566097,2.39324780195131,1.24263220705646,1.4557896651866,0.251381077704816,-0.895184752441634,0.595828743251666,15.349286768755
"675","SC",2011,618,0.142587898615251,-0.0934671669992811,-0.0710540936532656,-0.0859334945076645,-0.206793466867545,2.10500033811761,1.89932024202203,1.65072577413418,0.46570424925399,-0.798056688722832,0.595828743251666,15.3570965192428
"676","SC",2012,587,0.00205619822571643,-0.0944270804601308,-0.0709625647381369,-0.0859355603996512,-0.200006520457136,1.42728763850169,1.23285176317095,1.73161534809824,0.637877836115511,-0.72810063136381,0.595828743251666,15.3667586071503
"677","SC",2013,620,0.0862141035011059,-0.0948301558906188,-0.0710941261767424,-0.0859413301463236,-0.193015187609412,0.639192397618926,0.966826552285489,1.7197372807351,0.0525926638234925,-0.617020017953489,0.595828743251666,15.3766150019276
"678","SC",2014,701,0.327426212545942,-0.0990435193877397,-0.0711264734849049,-0.0859472509863864,-0.184107021197672,0.083181100530185,1.17901531354171,1.47915529277834,1.18420062791403,-0.48663527829512,0.595828743251666,15.389034619544
